CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
787.0,922.0,1101.0,1287.0,1494.0,1747.0,1930.0,3110.0,bare
795.0,936.0,1135.0,1294.0,1517.0,1743.0,1901.0,3096.0,bare
794.0,965.0,1164.0,1320.0,1539.0,1716.0,1883.0,3070.0,bare
828.0,956.0,1097.0,1305.0,1496.0,1748.0,1908.0,3090.0,bare
881.0,938.0,1118.0,1268.0,1477.0,1738.0,1920.0,3149.0,bare
883.0,929.0,1139.0,1275.0,1500.0,1726.0,1935.0,3144.0,bare
840.0,945.0,1142.0,1325.0,1561.0,1744.0,1974.0,3086.0,bare
829.0,956.0,1157.0,1356.0,1589.0,1765.0,1930.0,3039.0,bare
833.0,952.0,1163.0,1357.0,1572.0,1763.0,1926.0,3060.0,bare
751.0,956.0,1126.0,1329.0,1514.0,1710.0,1942.0,3014.0,bare
750.0,928.0,1140.0,1333.0,1502.0,1732.0,1964.0,3010.0,bare
823.0,933.0,1139.0,1296.0,1499.0,1713.0,1958.0,3166.0,bare
843.0,931.0,1135.0,1300.0,1516.0,1714.0,1965.0,3177.0,bare
836.0,942.0,1135.0,1338.0,1556.0,1723.0,1970.0,3106.0,bare
854.0,970.0,1152.0,1380.0,1611.0,1722.0,1938.0,3043.0,bare
861.0,953.0,1153.0,1367.0,1610.0,1744.0,1952.0,3092.0,bare
828.0,944.0,1158.0,1338.0,1583.0,1763.0,1983.0,3145.0,bare
771.0,966.0,1169.0,1332.0,1582.0,1775.0,2012.0,3179.0,bare
782.0,938.0,1148.0,1334.0,1517.0,1715.0,1923.0,3065.0,bare
775.0,923.0,1148.0,1341.0,1511.0,1715.0,1972.0,3005.0,bare
804.0,936.0,1133.0,1323.0,1528.0,1690.0,1982.0,3181.0,bare
787.0,945.0,1133.0,1337.0,1539.0,1693.0,1977.0,3179.0,bare
783.0,953.0,1132.0,1340.0,1514.0,1699.0,1966.0,3106.0,bare
823.0,964.0,1138.0,1325.0,1468.0,1699.0,1951.0,3041.0,bare
852.0,958.0,1129.0,1339.0,1522.0,1715.0,1979.0,3131.0,bare
817.0,953.0,1145.0,1326.0,1551.0,1742.0,2001.0,3150.0,bare
769.0,963.0,1171.0,1314.0,1566.0,1766.0,2019.0,3133.0,bare
827.0,963.0,1188.0,1339.0,1579.0,1785.0,2036.0,3149.0,bare
827.0,968.0,1178.0,1340.0,1586.0,1781.0,2041.0,3187.0,bare
846.0,924.0,1145.0,1319.0,1522.0,1691.0,1909.0,3294.0,bare
827.0,934.0,1146.0,1333.0,1521.0,1703.0,1927.0,3110.0,bare
