CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
1549.0,1700.0,1870.0,2022.0,1970.0,1863.0,2231.0,3669.0,builtup
1561.0,1732.0,1982.0,2106.0,1992.0,1905.0,2288.0,3771.0,builtup
1583.0,1642.0,1895.0,1981.0,1902.0,1845.0,2133.0,3863.0,builtup
1530.0,1616.0,1854.0,1934.0,1896.0,1873.0,2123.0,3794.0,builtup
1465.0,1667.0,1896.0,1979.0,1967.0,1928.0,2237.0,3673.0,builtup
1593.0,1724.0,1931.0,2016.0,2033.0,1894.0,2280.0,3717.0,builtup
1590.0,1705.0,1874.0,1995.0,1997.0,1946.0,2294.0,3788.0,builtup
1566.0,1716.0,1863.0,2032.0,1984.0,2031.0,2355.0,3816.0,builtup
1613.0,1834.0,1963.0,2201.0,2054.0,2085.0,2426.0,3821.0,builtup
1768.0,1954.0,2110.0,2283.0,2308.0,2180.0,2377.0,3863.0,builtup
1798.0,2027.0,2225.0,2322.0,2364.0,2318.0,2464.0,3902.0,builtup
1734.0,2034.0,2256.0,2348.0,2221.0,2411.0,2636.0,3907.0,builtup
1686.0,1851.0,2086.0,2205.0,2087.0,2113.0,2368.0,3966.0,builtup
1683.0,1807.0,2057.0,2154.0,2116.0,2051.0,2355.0,3808.0,builtup
1660.0,1862.0,2099.0,2191.0,2177.0,2112.0,2553.0,3583.0,builtup
1622.0,1793.0,2025.0,2149.0,2075.0,2014.0,2559.0,3755.0,builtup
1440.0,1573.0,1798.0,1862.0,1877.0,1814.0,2145.0,3725.0,builtup
1349.0,1473.0,1656.0,1714.0,1733.0,1695.0,1887.0,3524.0,builtup
1400.0,1565.0,1652.0,1777.0,1729.0,1700.0,1998.0,3275.0,builtup
1278.0,1491.0,1605.0,1692.0,1706.0,1664.0,1945.0,3259.0,builtup
1803.0,2063.0,2321.0,2468.0,2403.0,2243.0,2537.0,3506.0,builtup
1932.0,2192.0,2380.0,2606.0,2460.0,2395.0,2777.0,3772.0,builtup
1832.0,2065.0,2309.0,2510.0,2324.0,2254.0,2676.0,3990.0,builtup
1793.0,1994.0,2218.0,2406.0,2310.0,2276.0,2555.0,3853.0,builtup
1782.0,2015.0,2242.0,2425.0,2389.0,2358.0,2574.0,3682.0,builtup
1900.0,2102.0,2354.0,2492.0,2507.0,2322.0,2662.0,3733.0,builtup
1877.0,2088.0,2275.0,2399.0,2476.0,2312.0,2599.0,3897.0,builtup
1848.0,2105.0,2286.0,2435.0,2409.0,2388.0,2649.0,3992.0,builtup
1902.0,2197.0,2446.0,2649.0,2459.0,2511.0,2812.0,3995.0,builtup
2132.0,2326.0,2616.0,2875.0,2801.0,2642.0,2830.0,4006.0,builtup
2127.0,2386.0,2666.0,2917.0,2811.0,2769.0,2924.0,4032.0,builtup
1996.0,2377.0,2659.0,2846.0,2640.0,2829.0,3003.0,4051.0,builtup
1911.0,2291.0,2521.0,2688.0,2517.0,2568.0,2790.0,4062.0,builtup
1997.0,2314.0,2489.0,2610.0,2565.0,2530.0,2691.0,4026.0,builtup
2037.0,2331.0,2521.0,2648.0,2614.0,2567.0,2770.0,3958.0,builtup
1954.0,2241.0,2505.0,2717.0,2526.0,2520.0,2870.0,3955.0,builtup
1747.0,1948.0,2124.0,2311.0,2261.0,2219.0,2452.0,3848.0,builtup
1628.0,1812.0,1956.0,2110.0,2103.0,2068.0,2247.0,3639.0,builtup
1618.0,1850.0,1962.0,2135.0,2046.0,2052.0,2276.0,3386.0,builtup
1516.0,1782.0,1952.0,2093.0,2084.0,2016.0,2148.0,3385.0,builtup
1804.0,2084.0,2331.0,2522.0,2477.0,2394.0,2598.0,3545.0,builtup
1969.0,2264.0,2482.0,2732.0,2582.0,2575.0,2949.0,3833.0,builtup
1914.0,2193.0,2453.0,2736.0,2491.0,2407.0,2914.0,4090.0,builtup
1939.0,2159.0,2312.0,2585.0,2484.0,2422.0,2744.0,3956.0,builtup
1973.0,2176.0,2334.0,2631.0,2517.0,2535.0,2748.0,3875.0,builtup
1985.0,2232.0,2495.0,2806.0,2578.0,2647.0,2874.0,3934.0,builtup
1973.0,2206.0,2490.0,2705.0,2729.0,2558.0,2806.0,4034.0,builtup
1910.0,2157.0,2382.0,2605.0,2612.0,2505.0,2772.0,4017.0,builtup
1934.0,2187.0,2422.0,2682.0,2558.0,2561.0,2846.0,3952.0,builtup
2157.0,2329.0,2654.0,2965.0,2842.0,2709.0,2957.0,3926.0,builtup
2182.0,2428.0,2696.0,3089.0,2873.0,2785.0,3127.0,3950.0,builtup
2065.0,2431.0,2680.0,3051.0,2808.0,2822.0,3230.0,3961.0,builtup
1958.0,2367.0,2702.0,2915.0,2806.0,2811.0,3165.0,3923.0,builtup
2088.0,2365.0,2721.0,2922.0,2872.0,2859.0,2947.0,3987.0,builtup
2090.0,2341.0,2655.0,2901.0,2863.0,2806.0,2895.0,4007.0,builtup
1992.0,2259.0,2541.0,2842.0,2727.0,2669.0,2917.0,3972.0,builtup
1871.0,2047.0,2232.0,2503.0,2427.0,2385.0,2651.0,3864.0,builtup
1772.0,1932.0,2121.0,2364.0,2345.0,2263.0,2548.0,3737.0,builtup
1661.0,1877.0,2142.0,2368.0,2303.0,2218.0,2501.0,3587.0,builtup
1479.0,1790.0,2091.0,2339.0,2157.0,2099.0,2282.0,3432.0,builtup
1594.0,1822.0,2049.0,2229.0,2186.0,2161.0,2417.0,3577.0,builtup
1758.0,1965.0,2234.0,2455.0,2322.0,2333.0,2677.0,3853.0,builtup
1856.0,1918.0,2216.0,2492.0,2288.0,2242.0,2592.0,4045.0,builtup
1785.0,1897.0,2095.0,2317.0,2204.0,2293.0,2386.0,3910.0,builtup
1740.0,1877.0,2095.0,2337.0,2224.0,2306.0,2489.0,3895.0,builtup
1765.0,1905.0,2166.0,2466.0,2325.0,2341.0,2666.0,3974.0,builtup
1844.0,1955.0,2181.0,2478.0,2514.0,2330.0,2652.0,4055.0,builtup
1735.0,1909.0,2061.0,2364.0,2407.0,2295.0,2624.0,3968.0,builtup
1696.0,1882.0,2008.0,2309.0,2315.0,2290.0,2586.0,3799.0,builtup
1799.0,1941.0,2161.0,2403.0,2406.0,2356.0,2612.0,3629.0,builtup
1942.0,2062.0,2314.0,2510.0,2551.0,2404.0,2725.0,3505.0,builtup
1912.0,2080.0,2291.0,2552.0,2566.0,2437.0,2806.0,3611.0,builtup
1827.0,2054.0,2262.0,2553.0,2538.0,2469.0,2832.0,3753.0,builtup
1912.0,2076.0,2356.0,2631.0,2575.0,2520.0,2767.0,3828.0,builtup
1860.0,2042.0,2309.0,2610.0,2581.0,2529.0,2674.0,3935.0,builtup
1773.0,1956.0,2195.0,2501.0,2497.0,2421.0,2641.0,3906.0,builtup
1706.0,1808.0,2067.0,2288.0,2255.0,2215.0,2550.0,3750.0,builtup
1580.0,1686.0,1858.0,2083.0,2109.0,1992.0,2336.0,3588.0,builtup
1480.0,1604.0,1746.0,1979.0,1974.0,1853.0,2183.0,3506.0,builtup
1373.0,1528.0,1696.0,1930.0,1822.0,1758.0,2055.0,3458.0,builtup
1258.0,1365.0,1519.0,1674.0,1607.0,1511.0,1920.0,3543.0,builtup
1323.0,1444.0,1572.0,1770.0,1663.0,1620.0,1951.0,3726.0,builtup
1404.0,1470.0,1579.0,1799.0,1694.0,1710.0,1970.0,3913.0,builtup
1438.0,1517.0,1605.0,1791.0,1758.0,1853.0,2025.0,4012.0,builtup
1390.0,1518.0,1652.0,1851.0,1823.0,1899.0,2115.0,4001.0,builtup
1440.0,1518.0,1663.0,1908.0,1918.0,1902.0,2234.0,4030.0,builtup
1552.0,1548.0,1617.0,1931.0,2002.0,1912.0,2275.0,4057.0,builtup
1397.0,1528.0,1592.0,1858.0,1927.0,1924.0,2337.0,3960.0,builtup
1304.0,1517.0,1549.0,1756.0,1884.0,1906.0,2225.0,3812.0,builtup
1333.0,1570.0,1604.0,1754.0,1921.0,1937.0,2115.0,3619.0,builtup
1474.0,1712.0,1803.0,1900.0,2040.0,2046.0,2159.0,3429.0,builtup
1554.0,1705.0,1788.0,1968.0,2076.0,2026.0,2279.0,3478.0,builtup
1557.0,1664.0,1728.0,1988.0,2039.0,1974.0,2350.0,3618.0,builtup
1556.0,1655.0,1738.0,1983.0,1960.0,1900.0,2359.0,3683.0,builtup
1461.0,1608.0,1679.0,1900.0,1827.0,1907.0,2140.0,3884.0,builtup
1378.0,1543.0,1575.0,1793.0,1784.0,1866.0,2009.0,3922.0,builtup
1326.0,1475.0,1490.0,1692.0,1769.0,1778.0,2003.0,3801.0,builtup
1247.0,1415.0,1445.0,1620.0,1703.0,1683.0,2015.0,3660.0,builtup
1213.0,1342.0,1383.0,1537.0,1574.0,1552.0,1908.0,3637.0,builtup
1171.0,1254.0,1316.0,1461.0,1448.0,1428.0,1806.0,3667.0,builtup
1710.0,1927.0,2028.0,2182.0,2241.0,2214.0,2385.0,3528.0,builtup
1688.0,1905.0,2090.0,2197.0,2220.0,2258.0,2408.0,3672.0,builtup
1659.0,1688.0,1909.0,2052.0,1984.0,2060.0,2271.0,3760.0,builtup
1641.0,1634.0,1811.0,1922.0,1995.0,1991.0,2167.0,3547.0,builtup
1640.0,1632.0,1807.0,1885.0,2028.0,1995.0,2216.0,3457.0,builtup
1637.0,1638.0,1831.0,1882.0,2018.0,2002.0,2299.0,3549.0,builtup
1646.0,1779.0,1934.0,2061.0,2023.0,2067.0,2445.0,3591.0,builtup
1569.0,1770.0,2025.0,2135.0,2088.0,2079.0,2405.0,3602.0,builtup
1525.0,1694.0,2022.0,2063.0,2083.0,2068.0,2271.0,3552.0,builtup
1612.0,1673.0,1915.0,1934.0,1910.0,2023.0,2181.0,3451.0,builtup
1452.0,1594.0,1788.0,1877.0,1850.0,1823.0,2083.0,3468.0,builtup
1641.0,1765.0,1940.0,2032.0,2070.0,2019.0,2170.0,3535.0,builtup
1852.0,1966.0,2233.0,2297.0,2304.0,2251.0,2503.0,3777.0,builtup
1963.0,2062.0,2400.0,2444.0,2449.0,2389.0,2720.0,4007.0,builtup
2033.0,2068.0,2415.0,2495.0,2534.0,2455.0,2655.0,4058.0,builtup
2059.0,2126.0,2440.0,2554.0,2584.0,2565.0,2687.0,4107.0,builtup
2060.0,2241.0,2510.0,2624.0,2618.0,2688.0,2874.0,4184.0,builtup
2107.0,2280.0,2497.0,2658.0,2565.0,2632.0,2942.0,4145.0,builtup
2105.0,2234.0,2463.0,2603.0,2565.0,2588.0,2858.0,4069.0,builtup
2087.0,2219.0,2455.0,2597.0,2619.0,2611.0,2831.0,3963.0,builtup
2131.0,2290.0,2560.0,2763.0,2671.0,2655.0,2964.0,3997.0,builtup
2061.0,2183.0,2497.0,2602.0,2610.0,2444.0,2754.0,4080.0,builtup
2058.0,2093.0,2410.0,2445.0,2555.0,2355.0,2538.0,3931.0,builtup
2146.0,2122.0,2374.0,2476.0,2576.0,2533.0,2517.0,3566.0,builtup
2134.0,2350.0,2567.0,2730.0,2739.0,2694.0,2852.0,3770.0,builtup
2034.0,2312.0,2543.0,2710.0,2641.0,2642.0,2889.0,3813.0,builtup
1913.0,2054.0,2315.0,2489.0,2375.0,2402.0,2649.0,3715.0,builtup
1833.0,1889.0,2118.0,2283.0,2333.0,2242.0,2333.0,3559.0,builtup
1867.0,1923.0,2152.0,2245.0,2414.0,2322.0,2423.0,3540.0,builtup
1919.0,2047.0,2273.0,2328.0,2477.0,2493.0,2640.0,3663.0,builtup
1952.0,2220.0,2379.0,2455.0,2467.0,2648.0,2812.0,3810.0,builtup
1974.0,2329.0,2531.0,2700.0,2548.0,2625.0,2868.0,3795.0,builtup
1921.0,2267.0,2491.0,2676.0,2559.0,2546.0,2798.0,3799.0,builtup
1868.0,2094.0,2281.0,2420.0,2405.0,2420.0,2616.0,3743.0,builtup
1691.0,1876.0,2088.0,2265.0,2190.0,2144.0,2363.0,3678.0,builtup
1793.0,2065.0,2292.0,2436.0,2340.0,2326.0,2522.0,3736.0,builtup
1998.0,2322.0,2609.0,2781.0,2593.0,2567.0,2897.0,4133.0,builtup
2147.0,2350.0,2708.0,2953.0,2732.0,2683.0,3075.0,4376.0,builtup
2168.0,2322.0,2699.0,2936.0,2847.0,2688.0,3027.0,4421.0,builtup
2129.0,2246.0,2573.0,2841.0,2790.0,2644.0,2972.0,4316.0,builtup
2123.0,2270.0,2560.0,2832.0,2751.0,2699.0,3012.0,4219.0,builtup
2222.0,2397.0,2699.0,2953.0,2814.0,2813.0,3102.0,4168.0,builtup
2272.0,2362.0,2671.0,2866.0,2794.0,2738.0,3013.0,4198.0,builtup
2295.0,2357.0,2658.0,2829.0,2772.0,2721.0,3011.0,4109.0,builtup
2302.0,2438.0,2660.0,2900.0,2755.0,2737.0,3183.0,3919.0,builtup
2167.0,2324.0,2523.0,2744.0,2669.0,2543.0,2988.0,3978.0,builtup
2075.0,2219.0,2477.0,2658.0,2610.0,2451.0,2779.0,3823.0,builtup
2121.0,2212.0,2535.0,2713.0,2675.0,2573.0,2722.0,3597.0,builtup
2244.0,2393.0,2709.0,2938.0,2926.0,2796.0,3016.0,3815.0,builtup
2173.0,2386.0,2647.0,2857.0,2810.0,2749.0,3053.0,3828.0,builtup
2018.0,2210.0,2467.0,2691.0,2600.0,2562.0,2866.0,3718.0,builtup
1871.0,2002.0,2284.0,2610.0,2520.0,2376.0,2565.0,3666.0,builtup
1924.0,2086.0,2350.0,2591.0,2648.0,2509.0,2753.0,3611.0,builtup
2018.0,2203.0,2528.0,2713.0,2794.0,2713.0,2934.0,3662.0,builtup
2094.0,2320.0,2693.0,2881.0,2865.0,2875.0,3026.0,3819.0,builtup
2171.0,2468.0,2791.0,3051.0,2908.0,2860.0,3112.0,3942.0,builtup
2110.0,2475.0,2704.0,2983.0,2889.0,2795.0,3124.0,4016.0,builtup
1949.0,2301.0,2457.0,2734.0,2703.0,2627.0,2973.0,4057.0,builtup
1763.0,1975.0,2176.0,2443.0,2209.0,2312.0,2578.0,3852.0,builtup
1764.0,1904.0,2309.0,2542.0,2399.0,2275.0,2586.0,3942.0,builtup
1914.0,2047.0,2475.0,2734.0,2575.0,2410.0,2781.0,4302.0,builtup
1965.0,2058.0,2449.0,2728.0,2549.0,2422.0,2824.0,4433.0,builtup
1972.0,2082.0,2447.0,2716.0,2554.0,2419.0,2860.0,4352.0,builtup
1901.0,1984.0,2273.0,2575.0,2475.0,2317.0,2803.0,4282.0,builtup
1926.0,1995.0,2280.0,2611.0,2532.0,2374.0,2819.0,4156.0,builtup
2051.0,2149.0,2531.0,2823.0,2755.0,2600.0,2903.0,4074.0,builtup
2103.0,2137.0,2475.0,2735.0,2751.0,2470.0,2868.0,4131.0,builtup
2090.0,2103.0,2440.0,2641.0,2663.0,2476.0,2836.0,4107.0,builtup
2059.0,2100.0,2455.0,2620.0,2587.0,2529.0,2856.0,3998.0,builtup
2025.0,2068.0,2435.0,2601.0,2583.0,2386.0,2791.0,3958.0,builtup
1912.0,1999.0,2254.0,2485.0,2414.0,2251.0,2664.0,3811.0,builtup
1892.0,1995.0,2262.0,2524.0,2437.0,2306.0,2629.0,3642.0,builtup
2042.0,2062.0,2401.0,2678.0,2708.0,2545.0,2747.0,3664.0,builtup
2024.0,2043.0,2299.0,2541.0,2609.0,2501.0,2697.0,3735.0,builtup
1945.0,1920.0,2175.0,2422.0,2430.0,2341.0,2564.0,3625.0,builtup
1853.0,1778.0,2085.0,2378.0,2322.0,2198.0,2437.0,3477.0,builtup
1849.0,1870.0,2099.0,2339.0,2404.0,2303.0,2590.0,3557.0,builtup
1887.0,1994.0,2288.0,2554.0,2571.0,2492.0,2778.0,3627.0,builtup
1963.0,2095.0,2502.0,2802.0,2746.0,2647.0,2896.0,3746.0,builtup
2043.0,2171.0,2583.0,2884.0,2848.0,2671.0,2967.0,3942.0,builtup
2003.0,2162.0,2558.0,2760.0,2813.0,2679.0,2982.0,3883.0,builtup
1858.0,2004.0,2335.0,2512.0,2567.0,2482.0,2803.0,3774.0,builtup
1631.0,1720.0,1977.0,2205.0,2136.0,2114.0,2448.0,3664.0,builtup
1369.0,1492.0,1672.0,1983.0,1784.0,1677.0,2238.0,4152.0,builtup
1516.0,1589.0,1800.0,2099.0,1938.0,1822.0,2281.0,4301.0,builtup
1583.0,1619.0,1849.0,2117.0,1969.0,1890.0,2316.0,4325.0,builtup
1592.0,1632.0,1876.0,2113.0,1934.0,1907.0,2384.0,4205.0,builtup
1491.0,1531.0,1745.0,1942.0,1857.0,1794.0,2303.0,4209.0,builtup
1505.0,1531.0,1711.0,1935.0,1920.0,1805.0,2317.0,4148.0,builtup
1583.0,1626.0,1786.0,2062.0,2048.0,1910.0,2378.0,4065.0,builtup
1589.0,1695.0,1809.0,2090.0,2036.0,1929.0,2365.0,4054.0,builtup
1656.0,1695.0,1857.0,2113.0,2064.0,1979.0,2370.0,4031.0,builtup
1693.0,1681.0,1939.0,2142.0,2116.0,2036.0,2387.0,3990.0,builtup
1720.0,1671.0,2027.0,2184.0,2204.0,1997.0,2399.0,3931.0,builtup
1643.0,1579.0,1743.0,1960.0,1988.0,1855.0,2275.0,3869.0,builtup
1557.0,1565.0,1633.0,1908.0,1881.0,1860.0,2218.0,3702.0,builtup
1533.0,1612.0,1745.0,2010.0,1961.0,1994.0,2257.0,3537.0,builtup
1541.0,1574.0,1713.0,1942.0,1990.0,1984.0,2298.0,3586.0,builtup
1557.0,1530.0,1683.0,1907.0,1945.0,1919.0,2219.0,3608.0,builtup
