CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
559.0,518.0,566.0,641.0,718.0,696.0,825.0,1471.0,burned
576.0,539.0,571.0,624.0,707.0,733.0,825.0,1471.0,burned
573.0,518.0,566.0,632.0,711.0,689.0,824.0,1470.0,burned
561.0,503.0,557.0,623.0,686.0,691.0,816.0,1426.0,burned
565.0,469.0,541.0,598.0,590.0,662.0,787.0,1431.0,burned
566.0,477.0,531.0,582.0,638.0,614.0,774.0,1282.0,burned
581.0,485.0,526.0,598.0,630.0,628.0,808.0,1352.0,burned
549.0,487.0,566.0,630.0,673.0,727.0,850.0,1371.0,burned
573.0,516.0,543.0,637.0,653.0,667.0,858.0,1441.0,burned
556.0,512.0,533.0,619.0,631.0,637.0,850.0,1358.0,burned
527.0,483.0,536.0,585.0,617.0,643.0,784.0,1286.0,burned
508.0,491.0,534.0,568.0,640.0,629.0,792.0,1287.0,burned
500.0,495.0,534.0,579.0,639.0,627.0,792.0,1321.0,burned
529.0,477.0,539.0,618.0,660.0,658.0,815.0,1354.0,burned
527.0,529.0,578.0,644.0,691.0,707.0,847.0,1418.0,burned
513.0,523.0,589.0,653.0,709.0,720.0,861.0,1454.0,burned
571.0,518.0,553.0,625.0,684.0,708.0,831.0,1334.0,burned
560.0,511.0,553.0,601.0,678.0,660.0,814.0,1378.0,burned
565.0,498.0,552.0,590.0,669.0,646.0,821.0,1370.0,burned
533.0,473.0,537.0,579.0,628.0,624.0,784.0,1273.0,burned
519.0,488.0,528.0,590.0,648.0,625.0,821.0,1324.0,burned
518.0,501.0,535.0,597.0,656.0,656.0,809.0,1312.0,burned
494.0,503.0,541.0,612.0,672.0,643.0,842.0,1383.0,burned
496.0,551.0,592.0,643.0,692.0,724.0,924.0,1499.0,burned
500.0,549.0,599.0,648.0,693.0,755.0,896.0,1514.0,burned
523.0,506.0,547.0,626.0,675.0,697.0,865.0,1395.0,burned
530.0,516.0,519.0,634.0,711.0,707.0,873.0,1390.0,burned
537.0,479.0,522.0,622.0,648.0,704.0,825.0,1388.0,burned
543.0,532.0,564.0,653.0,701.0,697.0,890.0,1463.0,burned
564.0,521.0,545.0,613.0,675.0,696.0,817.0,1366.0,burned
488.0,508.0,531.0,599.0,663.0,667.0,822.0,1371.0,burned
502.0,503.0,536.0,590.0,652.0,653.0,820.0,1346.0,burned
528.0,486.0,552.0,577.0,629.0,636.0,762.0,1349.0,burned
540.0,490.0,534.0,585.0,666.0,641.0,810.0,1321.0,burned
540.0,491.0,535.0,593.0,681.0,675.0,806.0,1319.0,burned
551.0,503.0,541.0,625.0,685.0,702.0,844.0,1381.0,burned
533.0,526.0,597.0,645.0,710.0,765.0,902.0,1474.0,burned
520.0,530.0,598.0,645.0,682.0,756.0,889.0,1513.0,burned
571.0,504.0,538.0,637.0,656.0,688.0,826.0,1395.0,burned
464.0,528.0,536.0,623.0,714.0,684.0,881.0,1381.0,burned
514.0,515.0,541.0,615.0,620.0,692.0,895.0,1419.0,burned
549.0,516.0,554.0,617.0,668.0,690.0,847.0,1433.0,burned
539.0,514.0,557.0,636.0,688.0,688.0,890.0,1379.0,burned
521.0,522.0,565.0,624.0,680.0,694.0,857.0,1435.0,burned
535.0,497.0,569.0,603.0,653.0,653.0,844.0,1352.0,burned
