CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
396.0,366.0,513.0,576.0,426.0,347.0,937.0,3816.0,dense_vegetation
369.0,361.0,481.0,545.0,444.0,348.0,889.0,3643.0,dense_vegetation
464.0,411.0,612.0,714.0,548.0,418.0,1133.0,4023.0,dense_vegetation
448.0,422.0,596.0,724.0,593.0,462.0,1122.0,4102.0,dense_vegetation
473.0,412.0,645.0,737.0,591.0,455.0,1208.0,4004.0,dense_vegetation
490.0,416.0,622.0,722.0,604.0,438.0,1152.0,3861.0,dense_vegetation
472.0,379.0,582.0,663.0,540.0,412.0,1019.0,3930.0,dense_vegetation
441.0,328.0,494.0,579.0,460.0,336.0,835.0,3626.0,dense_vegetation
440.0,343.0,519.0,559.0,468.0,331.0,884.0,3628.0,dense_vegetation
496.0,416.0,592.0,674.0,577.0,410.0,1072.0,3832.0,dense_vegetation
492.0,405.0,582.0,679.0,590.0,413.0,1061.0,3906.0,dense_vegetation
451.0,405.0,576.0,705.0,541.0,427.0,1037.0,4092.0,dense_vegetation
472.0,399.0,594.0,673.0,603.0,445.0,1088.0,4146.0,dense_vegetation
517.0,416.0,602.0,724.0,589.0,439.0,1114.0,4171.0,dense_vegetation
459.0,423.0,676.0,741.0,628.0,465.0,1166.0,3958.0,dense_vegetation
443.0,416.0,608.0,713.0,595.0,432.0,1079.0,3749.0,dense_vegetation
446.0,401.0,577.0,688.0,546.0,419.0,1040.0,3576.0,dense_vegetation
444.0,362.0,523.0,634.0,492.0,374.0,953.0,3552.0,dense_vegetation
424.0,341.0,481.0,562.0,467.0,347.0,795.0,3408.0,dense_vegetation
412.0,355.0,532.0,599.0,504.0,352.0,965.0,3726.0,dense_vegetation
487.0,414.0,634.0,716.0,529.0,456.0,1066.0,3727.0,dense_vegetation
487.0,388.0,629.0,661.0,618.0,464.0,1042.0,3622.0,dense_vegetation
467.0,388.0,572.0,659.0,529.0,449.0,935.0,3513.0,dense_vegetation
480.0,415.0,558.0,632.0,537.0,405.0,1002.0,3739.0,dense_vegetation
490.0,410.0,545.0,643.0,535.0,418.0,996.0,3760.0,dense_vegetation
451.0,409.0,563.0,695.0,576.0,419.0,1040.0,4076.0,dense_vegetation
474.0,409.0,548.0,637.0,529.0,404.0,1026.0,3883.0,dense_vegetation
492.0,413.0,595.0,702.0,584.0,441.0,1072.0,3850.0,dense_vegetation
458.0,426.0,648.0,742.0,598.0,481.0,1201.0,3913.0,dense_vegetation
446.0,411.0,599.0,680.0,566.0,429.0,1108.0,3694.0,dense_vegetation
435.0,398.0,575.0,642.0,546.0,407.0,1032.0,3533.0,dense_vegetation
425.0,354.0,485.0,588.0,507.0,373.0,862.0,3350.0,dense_vegetation
431.0,350.0,510.0,581.0,495.0,369.0,888.0,3356.0,dense_vegetation
427.0,359.0,550.0,606.0,512.0,355.0,1040.0,3775.0,dense_vegetation
467.0,432.0,622.0,717.0,611.0,450.0,1131.0,3838.0,dense_vegetation
476.0,432.0,586.0,702.0,608.0,438.0,1073.0,3616.0,dense_vegetation
433.0,404.0,583.0,648.0,545.0,415.0,1075.0,3698.0,dense_vegetation
457.0,370.0,504.0,621.0,525.0,400.0,972.0,3540.0,dense_vegetation
458.0,393.0,533.0,639.0,531.0,424.0,971.0,3600.0,dense_vegetation
490.0,377.0,553.0,645.0,500.0,386.0,1011.0,3754.0,dense_vegetation
470.0,411.0,517.0,631.0,502.0,424.0,947.0,3591.0,dense_vegetation
466.0,419.0,559.0,644.0,542.0,431.0,1010.0,3570.0,dense_vegetation
453.0,416.0,596.0,697.0,585.0,476.0,1095.0,3762.0,dense_vegetation
462.0,408.0,593.0,677.0,547.0,449.0,1078.0,3664.0,dense_vegetation
410.0,389.0,511.0,588.0,500.0,388.0,937.0,3466.0,dense_vegetation
417.0,340.0,497.0,590.0,478.0,379.0,814.0,3160.0,dense_vegetation
405.0,351.0,556.0,635.0,520.0,373.0,1028.0,3702.0,dense_vegetation
371.0,367.0,536.0,655.0,493.0,368.0,1070.0,3957.0,dense_vegetation
496.0,384.0,608.0,679.0,576.0,403.0,1015.0,3624.0,dense_vegetation
458.0,401.0,589.0,685.0,606.0,429.0,1088.0,3699.0,dense_vegetation
467.0,397.0,601.0,678.0,585.0,425.0,1062.0,3745.0,dense_vegetation
