CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
624.0,678.0,844.0,954.0,941.0,819.0,1246.0,3045.0,sugarcane
620.0,664.0,839.0,950.0,934.0,831.0,1196.0,3050.0,sugarcane
643.0,669.0,838.0,949.0,920.0,845.0,1169.0,3071.0,sugarcane
614.0,677.0,848.0,953.0,915.0,797.0,1237.0,3025.0,sugarcane
613.0,654.0,835.0,939.0,893.0,815.0,1184.0,3034.0,sugarcane
645.0,643.0,831.0,937.0,880.0,855.0,1141.0,3063.0,sugarcane
679.0,653.0,842.0,943.0,928.0,866.0,1198.0,3135.0,sugarcane
659.0,670.0,849.0,960.0,915.0,900.0,1252.0,3138.0,sugarcane
684.0,681.0,857.0,985.0,923.0,901.0,1278.0,3099.0,sugarcane
628.0,664.0,860.0,949.0,888.0,814.0,1216.0,3023.0,sugarcane
628.0,642.0,849.0,938.0,877.0,812.0,1216.0,3026.0,sugarcane
634.0,631.0,844.0,936.0,873.0,821.0,1246.0,3045.0,sugarcane
648.0,636.0,848.0,938.0,893.0,829.0,1293.0,3091.0,sugarcane
645.0,644.0,842.0,954.0,905.0,876.0,1244.0,3145.0,sugarcane
676.0,659.0,856.0,977.0,920.0,895.0,1255.0,3152.0,sugarcane
714.0,669.0,866.0,1002.0,950.0,895.0,1271.0,3109.0,sugarcane
654.0,689.0,868.0,1014.0,971.0,910.0,1284.0,3083.0,sugarcane
683.0,705.0,887.0,1019.0,987.0,965.0,1339.0,3030.0,sugarcane
712.0,707.0,909.0,1019.0,1007.0,985.0,1349.0,2982.0,sugarcane
648.0,664.0,870.0,943.0,909.0,847.0,1213.0,2993.0,sugarcane
620.0,658.0,858.0,953.0,893.0,846.0,1221.0,3061.0,sugarcane
614.0,654.0,850.0,944.0,890.0,797.0,1267.0,3013.0,sugarcane
619.0,648.0,849.0,937.0,882.0,791.0,1300.0,3069.0,sugarcane
628.0,640.0,852.0,938.0,882.0,802.0,1294.0,3128.0,sugarcane
642.0,628.0,845.0,950.0,904.0,829.0,1193.0,3155.0,sugarcane
650.0,653.0,865.0,966.0,910.0,850.0,1244.0,3198.0,sugarcane
645.0,665.0,883.0,985.0,930.0,869.0,1297.0,3155.0,sugarcane
625.0,669.0,875.0,1001.0,969.0,896.0,1318.0,3029.0,sugarcane
678.0,716.0,886.0,1004.0,987.0,936.0,1314.0,3026.0,sugarcane
718.0,713.0,907.0,1007.0,991.0,947.0,1317.0,3004.0,sugarcane
717.0,693.0,923.0,1009.0,1010.0,936.0,1301.0,2968.0,sugarcane
655.0,714.0,929.0,1025.0,1060.0,961.0,1356.0,2891.0,sugarcane
683.0,736.0,928.0,1018.0,1052.0,971.0,1418.0,2900.0,sugarcane
649.0,652.0,849.0,936.0,887.0,809.0,1200.0,3069.0,sugarcane
637.0,645.0,843.0,932.0,866.0,809.0,1209.0,3106.0,sugarcane
620.0,646.0,843.0,931.0,883.0,793.0,1243.0,3070.0,sugarcane
615.0,652.0,841.0,934.0,870.0,793.0,1269.0,3141.0,sugarcane
620.0,651.0,850.0,937.0,873.0,793.0,1238.0,3179.0,sugarcane
624.0,644.0,860.0,944.0,885.0,795.0,1154.0,3135.0,sugarcane
629.0,672.0,841.0,955.0,891.0,823.0,1249.0,3136.0,sugarcane
628.0,671.0,856.0,969.0,916.0,843.0,1300.0,3134.0,sugarcane
628.0,667.0,875.0,984.0,954.0,863.0,1310.0,3075.0,sugarcane
662.0,719.0,884.0,991.0,981.0,885.0,1314.0,3030.0,sugarcane
696.0,707.0,899.0,998.0,969.0,904.0,1339.0,2998.0,sugarcane
689.0,689.0,913.0,1010.0,988.0,921.0,1326.0,2982.0,sugarcane
634.0,707.0,913.0,1028.0,1052.0,956.0,1272.0,2972.0,sugarcane
674.0,724.0,911.0,1025.0,1004.0,971.0,1342.0,2946.0,sugarcane
709.0,741.0,909.0,1040.0,1012.0,983.0,1420.0,2936.0,sugarcane
721.0,752.0,909.0,1073.0,1060.0,999.0,1446.0,2930.0,sugarcane
724.0,758.0,919.0,1086.0,1073.0,1014.0,1419.0,2884.0,sugarcane
659.0,647.0,834.0,944.0,861.0,792.0,1185.0,3107.0,sugarcane
656.0,631.0,830.0,928.0,849.0,781.0,1174.0,3155.0,sugarcane
639.0,620.0,831.0,922.0,861.0,802.0,1173.0,3168.0,sugarcane
618.0,631.0,818.0,930.0,822.0,818.0,1197.0,3184.0,sugarcane
611.0,647.0,823.0,941.0,840.0,810.0,1268.0,3162.0,sugarcane
614.0,654.0,837.0,950.0,869.0,797.0,1288.0,3099.0,sugarcane
622.0,658.0,839.0,956.0,870.0,813.0,1251.0,3033.0,sugarcane
617.0,670.0,849.0,965.0,897.0,827.0,1264.0,3053.0,sugarcane
626.0,675.0,868.0,969.0,931.0,837.0,1285.0,3062.0,sugarcane
645.0,698.0,875.0,977.0,962.0,848.0,1321.0,3006.0,sugarcane
662.0,689.0,885.0,990.0,947.0,881.0,1356.0,2970.0,sugarcane
669.0,687.0,896.0,1008.0,966.0,899.0,1340.0,3002.0,sugarcane
661.0,699.0,902.0,1027.0,1006.0,912.0,1297.0,3033.0,sugarcane
687.0,708.0,899.0,1037.0,980.0,941.0,1345.0,2959.0,sugarcane
701.0,724.0,899.0,1048.0,988.0,967.0,1407.0,2945.0,sugarcane
720.0,740.0,899.0,1060.0,1017.0,983.0,1447.0,2951.0,sugarcane
758.0,747.0,903.0,1061.0,1024.0,991.0,1418.0,2967.0,sugarcane
786.0,736.0,898.0,1059.0,1036.0,989.0,1404.0,2939.0,sugarcane
793.0,720.0,911.0,1060.0,1049.0,987.0,1373.0,2958.0,sugarcane
760.0,719.0,937.0,1069.0,1055.0,991.0,1350.0,2978.0,sugarcane
663.0,667.0,846.0,961.0,864.0,836.0,1197.0,3015.0,sugarcane
659.0,648.0,830.0,959.0,855.0,793.0,1155.0,3130.0,sugarcane
656.0,627.0,823.0,953.0,857.0,768.0,1146.0,3193.0,sugarcane
651.0,610.0,823.0,942.0,853.0,764.0,1164.0,3220.0,sugarcane
639.0,613.0,819.0,935.0,810.0,769.0,1202.0,3191.0,sugarcane
619.0,622.0,820.0,937.0,842.0,786.0,1225.0,3129.0,sugarcane
611.0,635.0,828.0,947.0,862.0,793.0,1252.0,3101.0,sugarcane
615.0,638.0,840.0,955.0,854.0,801.0,1213.0,3054.0,sugarcane
604.0,670.0,843.0,961.0,877.0,819.0,1225.0,2986.0,sugarcane
624.0,675.0,853.0,953.0,901.0,840.0,1239.0,2985.0,sugarcane
656.0,668.0,867.0,949.0,919.0,855.0,1249.0,3001.0,sugarcane
644.0,690.0,872.0,973.0,921.0,856.0,1263.0,2981.0,sugarcane
656.0,689.0,882.0,994.0,941.0,870.0,1316.0,3036.0,sugarcane
678.0,690.0,891.0,1014.0,968.0,885.0,1324.0,3053.0,sugarcane
701.0,694.0,892.0,1034.0,975.0,912.0,1325.0,2963.0,sugarcane
684.0,709.0,899.0,1040.0,974.0,953.0,1365.0,2964.0,sugarcane
679.0,725.0,908.0,1040.0,968.0,965.0,1364.0,3008.0,sugarcane
675.0,735.0,914.0,1036.0,969.0,962.0,1339.0,3026.0,sugarcane
663.0,720.0,910.0,1034.0,997.0,967.0,1334.0,2972.0,sugarcane
720.0,703.0,910.0,1034.0,1020.0,966.0,1365.0,2975.0,sugarcane
744.0,699.0,921.0,1045.0,1034.0,964.0,1362.0,3014.0,sugarcane
665.0,743.0,923.0,1071.0,1032.0,966.0,1362.0,3000.0,sugarcane
651.0,743.0,916.0,1045.0,1030.0,972.0,1362.0,2924.0,sugarcane
693.0,726.0,913.0,1030.0,1027.0,986.0,1355.0,2871.0,sugarcane
660.0,672.0,854.0,948.0,843.0,818.0,1137.0,2983.0,sugarcane
634.0,653.0,843.0,934.0,857.0,788.0,1131.0,3186.0,sugarcane
616.0,641.0,813.0,932.0,856.0,766.0,1136.0,3165.0,sugarcane
610.0,627.0,808.0,932.0,833.0,757.0,1151.0,3150.0,sugarcane
611.0,618.0,822.0,930.0,800.0,758.0,1175.0,3155.0,sugarcane
603.0,611.0,823.0,925.0,843.0,769.0,1154.0,3126.0,sugarcane
598.0,620.0,820.0,932.0,853.0,783.0,1161.0,3184.0,sugarcane
602.0,636.0,822.0,944.0,842.0,787.0,1191.0,3246.0,sugarcane
611.0,647.0,834.0,952.0,862.0,806.0,1202.0,3090.0,sugarcane
610.0,661.0,838.0,937.0,876.0,824.0,1215.0,2981.0,sugarcane
627.0,668.0,855.0,934.0,894.0,847.0,1232.0,2986.0,sugarcane
641.0,685.0,877.0,958.0,912.0,863.0,1251.0,3045.0,sugarcane
656.0,684.0,872.0,976.0,927.0,875.0,1311.0,3054.0,sugarcane
685.0,684.0,881.0,995.0,949.0,885.0,1316.0,3031.0,sugarcane
709.0,691.0,892.0,1013.0,977.0,900.0,1277.0,2959.0,sugarcane
667.0,703.0,895.0,1024.0,997.0,948.0,1354.0,2895.0,sugarcane
705.0,713.0,895.0,1038.0,1006.0,937.0,1349.0,2971.0,sugarcane
720.0,721.0,903.0,1039.0,999.0,922.0,1317.0,3037.0,sugarcane
653.0,719.0,920.0,1028.0,993.0,944.0,1313.0,2977.0,sugarcane
675.0,710.0,909.0,1021.0,1000.0,962.0,1387.0,2967.0,sugarcane
720.0,701.0,909.0,1032.0,1008.0,955.0,1397.0,2958.0,sugarcane
717.0,703.0,922.0,1054.0,1010.0,939.0,1321.0,2960.0,sugarcane
678.0,708.0,937.0,1024.0,1009.0,958.0,1345.0,3041.0,sugarcane
687.0,703.0,934.0,1021.0,1014.0,981.0,1362.0,2994.0,sugarcane
714.0,699.0,926.0,1042.0,1015.0,995.0,1364.0,2924.0,sugarcane
680.0,720.0,927.0,1051.0,1013.0,985.0,1350.0,2902.0,sugarcane
679.0,715.0,935.0,1034.0,1010.0,992.0,1336.0,2877.0,sugarcane
700.0,708.0,931.0,1024.0,1009.0,993.0,1336.0,2865.0,sugarcane
635.0,638.0,850.0,948.0,849.0,809.0,1147.0,3059.0,sugarcane
628.0,652.0,843.0,903.0,867.0,779.0,1156.0,3121.0,sugarcane
612.0,640.0,831.0,919.0,842.0,767.0,1162.0,3132.0,sugarcane
593.0,636.0,818.0,923.0,814.0,773.0,1144.0,3133.0,sugarcane
575.0,635.0,822.0,920.0,796.0,775.0,1140.0,3149.0,sugarcane
569.0,640.0,818.0,907.0,831.0,756.0,1170.0,3179.0,sugarcane
574.0,632.0,818.0,903.0,829.0,792.0,1166.0,3186.0,sugarcane
585.0,635.0,816.0,907.0,833.0,809.0,1161.0,3209.0,sugarcane
602.0,645.0,817.0,918.0,857.0,804.0,1167.0,3170.0,sugarcane
603.0,656.0,835.0,932.0,864.0,822.0,1204.0,3068.0,sugarcane
618.0,670.0,855.0,935.0,884.0,856.0,1256.0,3049.0,sugarcane
651.0,677.0,881.0,948.0,912.0,893.0,1298.0,3102.0,sugarcane
664.0,678.0,864.0,966.0,933.0,908.0,1295.0,3018.0,sugarcane
673.0,689.0,872.0,985.0,945.0,924.0,1284.0,2952.0,sugarcane
692.0,697.0,889.0,998.0,964.0,929.0,1283.0,2933.0,sugarcane
703.0,702.0,896.0,1007.0,995.0,938.0,1334.0,2960.0,sugarcane
721.0,704.0,899.0,1039.0,1019.0,908.0,1345.0,2938.0,sugarcane
743.0,716.0,904.0,1046.0,1020.0,899.0,1329.0,2968.0,sugarcane
709.0,729.0,920.0,1031.0,997.0,929.0,1321.0,2968.0,sugarcane
670.0,726.0,904.0,1026.0,990.0,974.0,1354.0,3017.0,sugarcane
672.0,707.0,899.0,1033.0,989.0,976.0,1339.0,3010.0,sugarcane
686.0,691.0,904.0,1042.0,990.0,957.0,1305.0,2959.0,sugarcane
667.0,698.0,910.0,1022.0,995.0,957.0,1346.0,2902.0,sugarcane
688.0,702.0,921.0,1021.0,1006.0,964.0,1360.0,2930.0,sugarcane
697.0,701.0,916.0,1032.0,1014.0,965.0,1362.0,2921.0,sugarcane
682.0,712.0,897.0,1040.0,1014.0,945.0,1345.0,2943.0,sugarcane
666.0,705.0,896.0,1024.0,983.0,931.0,1321.0,2976.0,sugarcane
661.0,696.0,903.0,1014.0,964.0,921.0,1310.0,2995.0,sugarcane
670.0,689.0,908.0,1015.0,961.0,915.0,1321.0,2977.0,sugarcane
684.0,687.0,902.0,1006.0,976.0,906.0,1334.0,2894.0,sugarcane
676.0,703.0,901.0,1016.0,982.0,913.0,1334.0,2897.0,sugarcane
663.0,637.0,855.0,940.0,870.0,844.0,1201.0,3011.0,sugarcane
630.0,627.0,843.0,911.0,848.0,799.0,1156.0,3079.0,sugarcane
623.0,637.0,841.0,888.0,851.0,769.0,1168.0,3109.0,sugarcane
637.0,622.0,864.0,920.0,826.0,774.0,1189.0,3182.0,sugarcane
637.0,622.0,847.0,918.0,815.0,787.0,1159.0,3243.0,sugarcane
616.0,638.0,830.0,909.0,829.0,777.0,1151.0,3205.0,sugarcane
590.0,656.0,828.0,903.0,860.0,745.0,1192.0,3101.0,sugarcane
601.0,635.0,823.0,912.0,840.0,795.0,1192.0,3083.0,sugarcane
597.0,638.0,814.0,912.0,838.0,827.0,1183.0,3149.0,sugarcane
598.0,653.0,818.0,913.0,857.0,823.0,1179.0,3211.0,sugarcane
618.0,654.0,858.0,941.0,866.0,836.0,1218.0,3173.0,sugarcane
623.0,679.0,854.0,946.0,884.0,876.0,1290.0,3121.0,sugarcane
641.0,683.0,853.0,952.0,919.0,891.0,1344.0,3041.0,sugarcane
664.0,652.0,861.0,980.0,954.0,870.0,1339.0,2936.0,sugarcane
663.0,686.0,878.0,997.0,943.0,913.0,1303.0,2968.0,sugarcane
674.0,705.0,895.0,996.0,962.0,924.0,1287.0,2992.0,sugarcane
703.0,707.0,905.0,996.0,995.0,913.0,1309.0,3012.0,sugarcane
680.0,699.0,915.0,1039.0,1009.0,897.0,1362.0,2878.0,sugarcane
709.0,719.0,911.0,1046.0,1012.0,906.0,1353.0,2865.0,sugarcane
741.0,726.0,904.0,1033.0,1003.0,932.0,1326.0,2954.0,sugarcane
727.0,696.0,899.0,1028.0,983.0,959.0,1322.0,3075.0,sugarcane
703.0,692.0,898.0,1033.0,986.0,946.0,1339.0,3030.0,sugarcane
686.0,689.0,892.0,1036.0,986.0,936.0,1347.0,2964.0,sugarcane
671.0,696.0,884.0,1027.0,987.0,940.0,1366.0,2869.0,sugarcane
692.0,707.0,903.0,1016.0,996.0,940.0,1348.0,2886.0,sugarcane
670.0,698.0,903.0,1012.0,1002.0,941.0,1358.0,2913.0,sugarcane
637.0,682.0,895.0,1014.0,996.0,943.0,1371.0,2914.0,sugarcane
691.0,689.0,896.0,1016.0,969.0,944.0,1363.0,2968.0,sugarcane
686.0,689.0,896.0,1013.0,951.0,915.0,1347.0,2993.0,sugarcane
666.0,686.0,901.0,1009.0,955.0,897.0,1334.0,2988.0,sugarcane
659.0,687.0,902.0,1000.0,977.0,902.0,1334.0,2916.0,sugarcane
