CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
406.0,390.0,443.0,485.0,456.0,410.0,476.0,1161.0,water
422.0,382.0,442.0,458.0,452.0,415.0,476.0,1096.0,water
418.0,378.0,418.0,481.0,469.0,412.0,581.0,1223.0,water
487.0,400.0,465.0,487.0,520.0,415.0,524.0,1229.0,water
482.0,384.0,466.0,502.0,502.0,423.0,478.0,1142.0,water
439.0,400.0,454.0,519.0,497.0,430.0,565.0,1204.0,water
466.0,395.0,460.0,493.0,480.0,407.0,502.0,1180.0,water
483.0,384.0,458.0,491.0,484.0,410.0,466.0,1152.0,water
499.0,399.0,452.0,497.0,478.0,416.0,605.0,1296.0,water
488.0,409.0,472.0,528.0,519.0,447.0,559.0,1614.0,water
482.0,394.0,451.0,478.0,457.0,415.0,534.0,1210.0,water
467.0,387.0,447.0,445.0,459.0,408.0,534.0,1146.0,water
421.0,369.0,467.0,502.0,449.0,372.0,598.0,1476.0,water
441.0,423.0,490.0,514.0,522.0,456.0,560.0,1430.0,water
438.0,380.0,453.0,500.0,494.0,439.0,512.0,1155.0,water
446.0,383.0,475.0,517.0,507.0,441.0,539.0,1181.0,water
449.0,420.0,493.0,511.0,500.0,452.0,514.0,1450.0,water
430.0,373.0,477.0,495.0,507.0,450.0,509.0,1143.0,water
430.0,384.0,498.0,528.0,514.0,453.0,573.0,1160.0,water
382.0,331.0,397.0,458.0,392.0,337.0,476.0,1019.0,water
446.0,418.0,489.0,526.0,499.0,421.0,662.0,1700.0,water
441.0,354.0,423.0,440.0,411.0,350.0,417.0,1084.0,water
418.0,334.0,389.0,422.0,399.0,330.0,488.0,1034.0,water
442.0,387.0,471.0,491.0,472.0,390.0,574.0,1450.0,water
426.0,351.0,388.0,434.0,438.0,336.0,457.0,1008.0,water
455.0,333.0,408.0,448.0,426.0,331.0,520.0,1124.0,water
459.0,378.0,419.0,493.0,434.0,403.0,542.0,1332.0,water
426.0,382.0,419.0,454.0,393.0,338.0,442.0,867.0,water
407.0,390.0,417.0,454.0,440.0,365.0,539.0,1034.0,water
457.0,384.0,436.0,495.0,450.0,393.0,523.0,1349.0,water
405.0,369.0,434.0,454.0,432.0,348.0,455.0,849.0,water
378.0,382.0,422.0,470.0,446.0,348.0,549.0,1027.0,water
474.0,383.0,435.0,501.0,444.0,383.0,553.0,1247.0,water
464.0,364.0,447.0,472.0,436.0,364.0,462.0,888.0,water
383.0,349.0,405.0,461.0,424.0,345.0,517.0,960.0,water
421.0,390.0,452.0,475.0,471.0,376.0,502.0,1160.0,water
415.0,372.0,444.0,464.0,430.0,345.0,472.0,917.0,water
377.0,349.0,397.0,443.0,402.0,326.0,495.0,1135.0,water
425.0,374.0,441.0,473.0,456.0,373.0,479.0,1125.0,water
419.0,370.0,438.0,453.0,425.0,339.0,484.0,982.0,water
373.0,342.0,400.0,442.0,405.0,323.0,487.0,1144.0,water
421.0,406.0,440.0,463.0,442.0,391.0,521.0,1261.0,water
429.0,384.0,418.0,456.0,415.0,343.0,446.0,1104.0,water
401.0,346.0,415.0,456.0,419.0,329.0,455.0,927.0,water
401.0,327.0,436.0,463.0,433.0,338.0,487.0,1206.0,water
413.0,375.0,430.0,445.0,430.0,367.0,500.0,1275.0,water
417.0,344.0,375.0,409.0,407.0,335.0,428.0,1006.0,water
390.0,349.0,360.0,417.0,381.0,268.0,390.0,1029.0,water
398.0,348.0,436.0,474.0,424.0,310.0,586.0,1531.0,water
413.0,363.0,430.0,459.0,432.0,356.0,523.0,1275.0,water
429.0,326.0,389.0,418.0,408.0,313.0,406.0,1019.0,water
407.0,370.0,371.0,414.0,380.0,283.0,403.0,1073.0,water
378.0,338.0,444.0,476.0,428.0,307.0,602.0,1629.0,water
395.0,383.0,426.0,479.0,424.0,354.0,499.0,1202.0,water
435.0,369.0,400.0,441.0,419.0,345.0,404.0,1030.0,water
399.0,333.0,408.0,425.0,394.0,310.0,440.0,1121.0,water
416.0,396.0,423.0,470.0,447.0,371.0,503.0,1131.0,water
434.0,379.0,418.0,472.0,446.0,356.0,468.0,1029.0,water
433.0,368.0,461.0,501.0,472.0,376.0,512.0,1120.0,water
412.0,397.0,428.0,471.0,453.0,370.0,493.0,1129.0,water
413.0,386.0,439.0,467.0,454.0,362.0,469.0,1004.0,water
470.0,392.0,492.0,544.0,507.0,411.0,587.0,1194.0,water
432.0,381.0,437.0,463.0,453.0,380.0,530.0,1167.0,water
465.0,364.0,446.0,435.0,454.0,367.0,495.0,1093.0,water
460.0,374.0,503.0,515.0,480.0,406.0,620.0,1336.0,water
421.0,356.0,423.0,434.0,440.0,319.0,492.0,1174.0,water
387.0,339.0,398.0,428.0,402.0,307.0,496.0,1192.0,water
384.0,321.0,430.0,479.0,396.0,318.0,565.0,1377.0,water
457.0,349.0,411.0,421.0,421.0,318.0,474.0,1204.0,water
449.0,331.0,387.0,393.0,379.0,308.0,491.0,1216.0,water
421.0,355.0,415.0,483.0,403.0,320.0,574.0,1426.0,water
440.0,347.0,409.0,421.0,407.0,324.0,503.0,1130.0,water
413.0,319.0,389.0,395.0,374.0,297.0,459.0,1097.0,water
412.0,334.0,423.0,472.0,387.0,311.0,582.0,1540.0,water
416.0,350.0,409.0,445.0,399.0,323.0,432.0,1102.0,water
413.0,326.0,386.0,393.0,366.0,305.0,454.0,1101.0,water
395.0,307.0,394.0,432.0,361.0,293.0,529.0,1383.0,water
403.0,345.0,386.0,423.0,391.0,303.0,415.0,1053.0,water
416.0,319.0,384.0,391.0,354.0,289.0,460.0,1048.0,water
388.0,297.0,369.0,424.0,384.0,289.0,508.0,1393.0,water
419.0,338.0,386.0,416.0,379.0,308.0,433.0,1076.0,water
348.0,319.0,371.0,395.0,356.0,292.0,453.0,1003.0,water
371.0,303.0,363.0,406.0,349.0,277.0,536.0,1434.0,water
419.0,357.0,418.0,478.0,436.0,333.0,506.0,1405.0,water
387.0,340.0,377.0,420.0,372.0,309.0,483.0,1012.0,water
405.0,326.0,354.0,396.0,354.0,279.0,440.0,1036.0,water
389.0,304.0,343.0,398.0,363.0,253.0,495.0,1398.0,water
393.0,362.0,412.0,468.0,430.0,353.0,529.0,1348.0,water
364.0,347.0,370.0,427.0,375.0,300.0,441.0,957.0,water
372.0,326.0,350.0,406.0,352.0,281.0,404.0,985.0,water
404.0,308.0,367.0,415.0,348.0,273.0,525.0,1334.0,water
420.0,372.0,424.0,448.0,403.0,344.0,484.0,1168.0,water
428.0,341.0,382.0,412.0,363.0,273.0,371.0,890.0,water
368.0,304.0,355.0,416.0,330.0,274.0,449.0,996.0,water
367.0,339.0,411.0,442.0,409.0,305.0,454.0,1019.0,water
376.0,313.0,392.0,372.0,397.0,283.0,423.0,1000.0,water
358.0,302.0,366.0,369.0,366.0,273.0,485.0,1043.0,water
372.0,319.0,405.0,443.0,404.0,302.0,440.0,992.0,water
423.0,307.0,357.0,363.0,349.0,276.0,401.0,921.0,water
375.0,308.0,355.0,368.0,342.0,272.0,437.0,1019.0,water
396.0,354.0,398.0,412.0,365.0,328.0,364.0,988.0,water
351.0,346.0,334.0,378.0,337.0,262.0,387.0,1060.0,water
347.0,336.0,320.0,380.0,346.0,262.0,404.0,1213.0,water
479.0,415.0,461.0,497.0,497.0,426.0,550.0,1072.0,water
516.0,397.0,447.0,505.0,457.0,402.0,558.0,1032.0,water
509.0,387.0,434.0,483.0,426.0,391.0,540.0,951.0,water
527.0,385.0,418.0,473.0,431.0,409.0,483.0,964.0,water
492.0,420.0,449.0,503.0,430.0,399.0,539.0,1011.0,water
504.0,409.0,430.0,487.0,417.0,375.0,511.0,960.0,water
488.0,373.0,418.0,456.0,412.0,379.0,446.0,848.0,water
449.0,382.0,418.0,462.0,415.0,402.0,487.0,868.0,water
435.0,362.0,427.0,479.0,438.0,402.0,465.0,986.0,water
488.0,400.0,463.0,496.0,458.0,436.0,529.0,1122.0,water
495.0,399.0,455.0,501.0,468.0,415.0,501.0,841.0,water
438.0,395.0,428.0,501.0,453.0,413.0,454.0,924.0,water
486.0,387.0,416.0,441.0,421.0,379.0,429.0,785.0,water
459.0,382.0,427.0,447.0,399.0,386.0,509.0,895.0,water
